# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cpu-clock'
# Event count (approx.): 16095095079
#
# Overhead  Shared Object         Symbol                                      IPC   [IPC Coverage]
# ........  ....................  ..........................................  ....................
#
     0.01%  python3.10d           [.] _PyFileIO_closed                        -      -            
     0.01%  python3.10d           [.] _PyModuleSpec_IsInitializing            -      -            
     0.01%  python3.10d           [.] _PyObject_GC_Malloc                     -      -            
     0.01%  python3.10d           [.] _PyObject_GC_New                        -      -            
     0.01%  python3.10d           [.] _PyObject_VectorcallTstate              -      -            
     0.01%  python3.10d           [.] _PyPegen_is_memoized                    -      -            
     0.01%  python3.10d           [.] _PyTuple_MaybeUntrack                   -      -            
     0.01%  python3.10d           [.] _PyUnicodeWriter_WriteASCIIString       -      -            
     0.01%  python3.10d           [.] _PyUnicode_EqualToASCIIId               -      -            
     0.01%  python3.10d           [.] _PyUnicode_EqualToASCIIString           -      -            
     0.01%  python3.10d           [.] _PyUnicode_FromUCS1.lto_priv.0          -      -            
     0.01%  python3.10d           [.] _bufferedreader_read_fast.lto_priv.0    -      -            
     0.01%  python3.10d           [.] _copy_characters                        -      -            
     0.01%  python3.10d           [.] _loop1_97_rule.lto_priv.0               -      -            
     0.01%  python3.10d           [.] all_name_chars                          -      -            
     0.01%  python3.10d           [.] builtin_min                             -      -            
     0.01%  python3.10d           [.] builtin_ord                             -      -            
     0.01%  python3.10d           [.] bytes_length                            -      -            
     0.01%  python3.10d           [.] classmethod_get.lto_priv.0              -      -            
     0.01%  python3.10d           [.] dict_dealloc.lto_priv.0                 -      -            
     0.01%  python3.10d           [.] dictresize                              -      -            
     0.01%  python3.10d           [.] find_empty_slot                         -      -            
     0.01%  python3.10d           [.] gc_list_size                            -      -            
     0.01%  python3.10d           [.] get_bytes_state.lto_priv.0              -      -            
     0.01%  python3.10d           [.] get_gc_state                            -      -            
     0.01%  python3.10d           [.] get_latin1_char.lto_priv.0              -      -            
     0.01%  python3.10d           [.] insert_to_freepool                      -      -            
     0.01%  python3.10d           [.] intern_string_constants                 -      -            
     0.01%  python3.10d           [.] list_traverse.lto_priv.0                -      -            
     0.01%  python3.10d           [.] lookdict                                -      -            
     0.01%  python3.10d           [.] module_getattro.lto_priv.0              -      -            
     0.01%  python3.10d           [.] os_fspath.lto_priv.0                    -      -            
     0.01%  python3.10d           [.] pattern_subx                            -      -            
     0.01%  python3.10d           [.] r_byte                                  -      -            
     0.01%  python3.10d           [.] s_pack_internal                         -      -            
     0.01%  python3.10d           [.] shift_expr_rule                         -      -            
     0.01%  python3.10d           [.] siphash24                               -      -            
     0.01%  python3.10d           [.] slot_sq_item                            -      -            
     0.01%  python3.10d           [.] slotptr                                 -      -            
